id,track names,artists name,artists id,genres
4l9hml2UCnxoNI3yCdL1BW,My Funny Valentine,Chet Baker,3rxeQlsv0Sc2nyYaZ5W71T,vocal jazz
7caj6X6NMX3tlhWnu1du6V,We Belong Together,Ritchie Valens,5Y9xEAGW4GwGJgbiI6W85P,rockabilly
7qoaMWT3eRCKG1RN6dVuOY,Stagger Lee,Lloyd Price,3iOE5ItEv5xr9fmKi7GNh2,rockabilly
72nqbbrKjhXmDdRXQGq115,All I Have to Do Is Dream,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,sunshine pop
7DJsL4jyXA39GDiHFQYQ0t,Mess Around,Ray Charles,1eYhYunlNJlDoQhtYBvPsi,vocal jazz
7fWo4TRloCEOl12sMX2sNq,Earth Angel (Will You Be Mine),The Penguins,6lOk7hCr8x3O9vHwylXyHR,rhythm and blues
7fPOOCejoBt3dIm6UcEdm8,You Send Me,Sam Cooke,6hnWRPzGGKiapVX1UCdEAC,soul
2CeqxyOZEyiL6pTDYZ9gPH,Fever,Peggy Lee,602DnpaSXJB4b9DZrvxbDc,vocal jazz
2FkCjtQ1lYsf71s2FAS8hE,The Great Pretender,The Platters,6KWcxMWVNVIYbdOQyJtsSy,rockabilly
1oDCK7PW72XEZ1pE5rh87A,Smile,Nat King Cole,7v4imS0moSyGdXyLgVTIV7,adult standards
307XEC1IUwUs9ojlEFwH7f,Smoke Gets In Your Eyes,The Platters,6KWcxMWVNVIYbdOQyJtsSy,rockabilly
7eqNATKM78MkWP6aHGXHEV,Put Your Head on My Shoulder,Paul Anka,7ceUfdWq2t5nbatS6ollHh,rock-and-roll
5yQ9iMZXGcr5rlO4hoLsP4,"What'd I Say, Pt. 1 & 2",Ray Charles,1eYhYunlNJlDoQhtYBvPsi,vocal jazz
4qdF7iTMOWPLZrH7s6yfZk,Papa Loves Mambo,Perry Como,5v8jlSmAQfrkTjAlpUfWtu,easy listening
1eqGYJJr2z2GXK1i0hD3BC,Love Letters In The Sand - Single Version,Pat Boone,7fmKtIgmxqNEKjATioVNsu,rockabilly
3xZe0jFAwc3akvChOrPS7u,You Belong To Me,Jo Stafford,1Jqk46QvzUn7SnwmTGX6Cw,vocal jazz
1Qn5jElT7XqjvVeJ8pYM2w,A Teenager's Romance,Ricky Nelson,73sSFVlM6pkweLXE8qw1OS,rockabilly
2k6qpHJsrKCCyvsHv2cPqR,Diana,Paul Anka,7ceUfdWq2t5nbatS6ollHh,rock-and-roll
5P11rW6aJErF37MTfRZS31,"Hallelujah, I Love Her So",Ray Charles,1eYhYunlNJlDoQhtYBvPsi,vocal jazz
7bflxIMDz5mFxhQyYx1CEh,Magic Moments,Perry Como,5v8jlSmAQfrkTjAlpUfWtu,easy listening
3x6wVKXfCm85Pw7gYo0rqq,That's Amore,Dean Martin,49e4v89VmlDcFCMyDv9wQ9,lounge
2HyPrPSANTIPkR6CfiytwY,Dream a Little Dream of Me (with Paul Weston & His Music From Hollywood),Doris Day,3ESG6pj6a0LvUKklENalT6,vocal jazz
4bzvhZFlV9UqQ3EmV2i8s4,Who's Sorry Now,Connie Francis,3EY5DxGdy7x4GelivOjS2Q,rockabilly
33aYzW5ToRjiFOzkubeJ8H,Rave On,Buddy Holly,3wYyutjgII8LJVVOLrGI0D,rockabilly
2xar08Fq5xra2KKZs5Bw9j,I've Got a Woman,Ray Charles,1eYhYunlNJlDoQhtYBvPsi,vocal jazz
4ydtQJImyQg6UDFFZBzgxp,Cry Me A River,Dinah Washington,32LHRiof0sa4taYew9i3Fa,vocal jazz
4hHbeIIKO5Y5uLyIEbY9Gn,Come Fly With Me - Remastered,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,lounge
0F76EzCOmno4KJviO7iGNq,"Hey, Good Lookin'",Hank Williams,1FClsNYBUoNFtGgzeG74dW,yodeling
4EaVZab0VnTWwWnO3HuEAp,Stupid Cupid,Connie Francis,3EY5DxGdy7x4GelivOjS2Q,rockabilly
5Aqnf8w3OZG0RQIW90QGaP,There Goes My Baby - Single Version; 2019 Remaster,The Drifters,1FqqOl9itIUpXr4jZPIVoT,soul
79nJj5dMyTsUzKvN5jUXsJ,I Can't Stop Loving You,Ray Charles,1eYhYunlNJlDoQhtYBvPsi,vocal jazz
0Rk9byjmZksAJX15onGns5,Teach Me Tonight,Dinah Washington,32LHRiof0sa4taYew9i3Fa,vocal jazz
3aEJMh1cXKEjgh52claxQp,I've Got You Under My Skin - Remastered 1998,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,lounge
675n4cfx308vwH0VBGqEOM,I Saw The Light - Single Version,Hank Williams,1FClsNYBUoNFtGgzeG74dW,yodeling
4IYyGIbMS5ZkxDXGfPIrXr,Come Go With Me,The Del-Vikings,10xLCBOlt2NhclsRmrOvX5,rock-and-roll
63NmQTtxQLHSRp7li6aAmP,Chances Are - Single Version,Johnny Mathis,21LGsW7bziR4Ledx7WZ1Wf,vocal jazz
3YdKJzcoMZMacISlpY4QoP,I Only Have Eyes for You,The Flamingos,6iygtKnPG7TRvDaTYcLOd6,rhythm and blues
5y3gqKswDeU8pJ878YFPUy,Autumn in New York - 2003 Remastered Version,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,vocal jazz
0x0ffSAP6PkdoDgHOfroof,My Funny Valentine - Remastered,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,lounge
2KJOfVTxWkbtRMGByeEQ7V,Jambalaya (On The Bayou),Hank Williams,1FClsNYBUoNFtGgzeG74dW,yodeling
2yOXKIU9YtBSWjI3OA8tqj,Little Bitty Pretty One,Thurston Harris,61VpPyyJn2bitby8tbafzT,rock-and-roll
4uxsv9PjV3Yeyn51RdWvGJ,Misty,Johnny Mathis,21LGsW7bziR4Ledx7WZ1Wf,vocal jazz
07GtDOCxmye5KDWsTSACPk,Chantilly Lace,The Big Bopper,2gNK2HAaLVz5DZoD2moDQj,rockabilly
1pZn8AX1WulW8IO338hE5D,Blue Moon,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,vocal jazz
3YCbx1QqGrnxMsPEZLC1CT,Love Is Here To Stay - Remastered 1998,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,lounge
13Oi7vfd9mrujcEmGAYAPe,Your Cheatin' Heart,Hank Williams,1FClsNYBUoNFtGgzeG74dW,yodeling
14t8pLQkLLskPriG8bs96b,Walkin' After Midnight,Patsy Cline,7dNsHhGeGU5MV01r06O8gK,nashville sound
1V4NaFlrUCK49MXcdOcVeS,They Can't Take That Away From Me,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,vocal jazz
7hxZF4jETnE5Q75rKQnMjE,I Walk the Line,Johnny Cash,6kACVPfCOnqzgfEF5ryl0x,outlaw country
4mQz22nF9cyWqwuErTqc6V,Crazy He Calls Me,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,vocal jazz
3mKdw0slI6wmnb1FBrvwn2,I Get A Kick Out Of You,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,lounge
1uRKT2LRANv4baowBWHfDS,(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,3MFp4cYuYtTZe3d3xkLLbr,rockabilly
77FRvC6JRthZBYDiMJeAFg,Wild One,Jerry Lee Lewis,2zyz0VJqrDXeFDIyrfVXSo,rockabilly
33jt3kYWjQzqn3xyYQ5ZEh,Cheek To Cheek,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,vocal jazz
5wbZ3sbWf4PppzZiRxkxou,Ready Teddy,Little Richard,4xls23Ye9WR9yy3yYMpAMm,soul
1CTex49P0iWwzUGsMNjgaV,Strange Fruit,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,vocal jazz
3h4udS0WeWbsur3yfjvnm4,Reet Petite,Jackie Wilson,4VnomLtKTm9Ahe1tZfmZju,soul
3koJ1vDWEITIrfMlNaHIu3,Living Doll - 2003 Remaster,Cliff Richard & The Drifters,1yAdL4L8voXQspjN6rdj4b,rock-and-roll
2R7uUQ0Dehu80gsOcydQC9,Bo Diddley,Bo Diddley,2bmixwMZXlkl2sbIbOfviq,traditional blues
07TQDFaoLBwvo6JU1nnaiU,I'm Walkin',Fats Domino,09C0xjtosNAIXP36wTnWxd,soul
56IQUfsUskt9VHe6YM6kue,Black Coffee,Sarah Vaughan,1bgyxtWjZwA5PQlDsvs9b8,vocal jazz
1wAURZCIA0k5RNwaJN3dH3,I'll Look Around,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,vocal jazz
5ayybTSXNwcarDtxQKqvWX,Poor Little Fool - Remastered,Ricky Nelson,73sSFVlM6pkweLXE8qw1OS,rockabilly
7ItZM6DMZE2m1X7yIaRxjq,C’Mon Everybody,Eddie Cochran,1p0t3JtUTayV2wb1RGN9mO,rockabilly
648TTtYB0bH0P8Hfy0FmkL,Unforgettable,Nat King Cole,7v4imS0moSyGdXyLgVTIV7,adult standards
6sBPjgvLZzHHrpxbBDjmdE,Not Fade Away,The Crickets,4r7JUeiYy24L7BuzCq9EjR,rockabilly
4g9ZMsnY0xpeG3OR8GRJne,"It's Not for Me to Say - From the MGM Film ""Lizzie""",Johnny Mathis,21LGsW7bziR4Ledx7WZ1Wf,vocal jazz
11fNLqDB47gMKj7BHhR2Qr,Wake up Little Susie,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,sunshine pop
5vjigjfoXuJEttqLB3HTAg,Personality,Lloyd Price,3iOE5ItEv5xr9fmKi7GNh2,rockabilly
7Gpx2fNJiilvrf9Ss8qbit,Calendar Girl,Neil Sedaka,5N6GwJzOcOY5kv8p0NjhYL,soft rock
40fD7ct05FvQHLdQTgJelG,Splish Splash,Bobby Darin,0EodhzA6yW1bIdD5B4tcmJ,vocal jazz
7s7Zu78CztOUFUyQ4BijBQ,Oh Boy! - Overdubbed Version,Buddy Holly,3wYyutjgII8LJVVOLrGI0D,rockabilly
7vAw4LLIms6X8ZHcbtoazz,I Wonder Why,Dion & The Belmonts,2loYllWFfoWpoxC5YrJKc4,rockabilly
