id,track names,artists name,artists id,track acousticness,track danceability,track duration_ms,track energy,track instrumentalness,track key,track liveness,track loudness,track mode,track speechiness,track time_signature,track valence,genres
06PdA0DLgF4BfAeUNZAbFG,Blueberry Hill,Fats Domino,09C0xjtosNAIXP36wTnWxd,0.74,0.489,147880,0.499,0.000236,11,0.156,-9.702,1,0.0271,3,0.829,soul
40KCF1U2DNceYsugxZQruU,Broken Hearted Melody,Sarah Vaughan,1bgyxtWjZwA5PQlDsvs9b8,0.744,0.448,143267,0.5,0.0,7,0.191,-11.304,1,0.0356,4,0.768,vocal jazz
2viNxee3uNcVXrXvwAUVir,That's Amore,Dean Martin,49e4v89VmlDcFCMyDv9wQ9,0.741,0.476,186267,0.226,0.0,10,0.0944,-10.546,1,0.0295,4,0.5,lounge
72nqbbrKjhXmDdRXQGq115,All I Have to Do Is Dream,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,0.783,0.542,141240,0.347,0.0,4,0.144,-14.011,1,0.0268,4,0.596,sunshine pop
50RwvvEKX5Q7AZt8FTAwIF,That'll Be The Day,Buddy Holly,3wYyutjgII8LJVVOLrGI0D,0.467,0.536,150133,0.637,0.0,2,0.0838,-7.774,1,0.0343,4,0.798,rockabilly
3KzgdYUlqV6TOG7JCmx2Wg,Beyond the Sea,Bobby Darin,0EodhzA6yW1bIdD5B4tcmJ,0.723,0.521,172480,0.516,0.0,2,0.257,-7.456,0,0.0369,4,0.569,vocal jazz
7fPOOCejoBt3dIm6UcEdm8,You Send Me,Sam Cooke,6hnWRPzGGKiapVX1UCdEAC,0.945,0.538,163560,0.226,0.0,4,0.125,-13.817,0,0.0288,4,0.553,soul
5ueyLj6e6oVaTY0KQ6yLaA,All Shook Up,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,0.881,0.624,117080,0.468,6.35e-06,10,0.144,-12.162,1,0.132,4,0.952,rockabilly
2FkCjtQ1lYsf71s2FAS8hE,The Great Pretender,The Platters,6KWcxMWVNVIYbdOQyJtsSy,0.943,0.425,160667,0.401,3.44e-06,7,0.072,-9.427,1,0.0315,3,0.531,rockabilly
1slMt4LizkO9dVcMZItJ1O,Jambalaya (On The Bayou),Fats Domino,09C0xjtosNAIXP36wTnWxd,0.819,0.605,144067,0.845,0.000267,6,0.253,-8.672,0,0.0596,4,0.965,soul
7ljPNANyoIDc7sL0PWaJlu,True Love Ways,Buddy Holly,3wYyutjgII8LJVVOLrGI0D,0.8,0.221,168707,0.124,0.103,10,0.316,-19.545,1,0.0346,4,0.276,rockabilly
0KM3fzzUBVW0vW7RmFh28v,Stupid Cupid,Connie Francis,3EY5DxGdy7x4GelivOjS2Q,0.831,0.606,134560,0.725,1.07e-05,3,0.0407,-7.019,1,0.0352,4,0.963,rockabilly
7t8Tzd9FqVz2asFMCL0HpZ,Tennessee Waltz,Patti Page,4nZN9kln8toEzOifhWG2uF,0.957,0.468,183573,0.171,3.74e-05,5,0.142,-10.905,1,0.0303,3,0.357,vocal jazz
11fNLqDB47gMKj7BHhR2Qr,Wake up Little Susie,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,0.318,0.709,123520,0.62,0.0,2,0.0426,-9.382,1,0.034,4,0.936,sunshine pop
3E5ndyOfO6vFDEIE42HA8o,Mack the Knife,Bobby Darin,0EodhzA6yW1bIdD5B4tcmJ,0.76,0.549,184333,0.529,0.0,3,0.206,-12.291,0,0.108,4,0.464,vocal jazz
79nJj5dMyTsUzKvN5jUXsJ,I Can't Stop Loving You,Ray Charles,1eYhYunlNJlDoQhtYBvPsi,0.815,0.31,256120,0.279,0.0,5,0.318,-13.552,1,0.0308,3,0.377,vocal jazz
01u6AEzGbGbQyYVdxajxqk,Don't Be Cruel,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,0.856,0.697,122893,0.55,3.44e-05,2,0.0907,-11.496,1,0.18,4,0.844,rockabilly
648TTtYB0bH0P8Hfy0FmkL,Unforgettable,Nat King Cole,7v4imS0moSyGdXyLgVTIV7,0.92,0.349,191973,0.182,0.0152,5,0.143,-13.507,1,0.031,3,0.178,adult standards
1vVY5vd4kowd70TdTuEjfV,(‘Til) I Kissed You,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,0.338,0.58,147587,0.356,0.0,10,0.335,-12.894,0,0.0387,4,0.7,sunshine pop
4ZfQwNx3FlCN07cnUvekh3,Ain't That A Shame,Fats Domino,09C0xjtosNAIXP36wTnWxd,0.767,0.486,152200,0.501,7.6e-05,4,0.0679,-8.57,1,0.0326,4,0.942,soul
1KLpjQFgubHI3GkAICCNH3,Dream Lover,Bobby Darin,0EodhzA6yW1bIdD5B4tcmJ,0.715,0.526,150706,0.774,0.0,5,0.437,-1.692,1,0.0459,4,0.715,vocal jazz
2OARIMw1hpehr86Iwmv04c,Peggy Sue,Buddy Holly,3wYyutjgII8LJVVOLrGI0D,0.947,0.676,150960,0.424,0.000494,9,0.119,-8.132,1,0.0329,4,0.493,rockabilly
3vFVS2WYHDG4KkWCNecvpn,Dream A Little Dream Of Me,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,0.918,0.455,185067,0.167,0.0,0,0.173,-13.613,1,0.0739,4,0.404,vocal jazz
